k;Time Recursive;Memory Recursive;Time With Array;Memory With Array;Time With Stack;Memory With Stack;
0;1688607;0;524391;8192;1754293;8192;
1000;148629;8192;115758;24256;11528459;16384;
2000;224012;8192;186037;40256;149828;32816;
3000;288781;8192;346905;56256;231813;57488;
4000;367875;8192;394051;72256;296423;57488;
5000;388494;8192;489613;88256;308249;106736;
6000;676189;8192;811921;104264;404730;106736;
7000;668633;8192;581159;120264;400956;106736;
8000;772812;8192;903223;136264;403520;106736;
9000;866856;8192;945246;152264;636787;205136;
10000;915131;8192;745968;168264;509287;205136;
11000;1046012;8192;1198780;184264;817940;205136;
12000;1120471;8192;1083347;200264;597544;205136;
13000;1093658;8192;1191138;216264;674778;205136;
14000;1334834;8192;1343041;232264;771130;205136;
15000;1650704;8192;1719310;248264;1004146;205136;
16000;1408650;8192;1379289;264264;1088364;205136;
17000;1738524;8192;1798276;280264;1031500;401848;
18000;1624301;8192;1194505;296264;1172421;401848;
19000;2353788;8192;1855750;312264;1248257;401848;
20000;2213038;8192;1572599;328264;1087055;401848;
21000;2531604;8192;2114043;344264;1840187;401848;
22000;2150663;8192;1789190;360264;1152600;401848;
23000;2223410;8192;2461920;376264;1627930;401848;
24000;2021250;8192;2262641;392264;2107475;401848;
25000;2713228;8192;2607627;408264;1196942;401848;
26000;2987296;8192;2888780;424264;2241916;401848;
27000;1950284;8192;2166692;440264;2139116;401848;
28000;3001630;8192;2798362;456264;1296262;401848;
29000;2452151;8192;2769822;472264;2083921;401848;
30000;2461650;8192;2256817;488264;1665057;401848;
31000;3696284;8192;3446121;504264;1556298;401848;
32000;2402633;8192;2973111;520264;2016828;401848;
33000;2978761;8192;2372051;536264;1793188;795176;
34000;2980047;8192;3657500;552264;1793089;795176;
35000;2697227;8192;3137369;568264;2392242;795176;
36000;3069259;8192;2406334;584264;2298062;795176;
37000;3829694;8192;3418122;600264;1620721;795176;
38000;3254730;8192;4166858;616264;2666553;795176;
39000;2561452;8192;3923866;632264;2570764;795176;
40000;3845484;8192;3063883;648264;2610318;795176;
41000;4783792;8192;3389201;664264;2008249;795176;
42000;4206349;8192;4330248;680264;2105636;795176;
43000;3092752;8192;4577265;696264;2758848;795176;
44000;3185764;8192;4220144;712264;3425338;795176;
45000;3828276;8192;3408935;728264;2873192;795176;
46000;4537170;8192;3740300;744264;2256383;795176;
47000;4831445;8192;4265252;760264;2132746;795176;
48000;4515999;8192;5066608;776264;2504304;795176;
49000;3488217;8192;5097333;792264;3253728;795176;
50000;3262590;8192;5096247;808264;3307138;795176;
51000;3629414;8192;4839970;824264;2794159;795176;
52000;4280291;8192;3963924;840264;3895404;795176;
53000;4905545;8192;4716560;856264;3855461;795176;
54000;5127256;8192;5202499;872264;3919027;795176;
55000;4049775;8192;5616573;888264;4120625;795176;
56000;4120924;8192;6716938;904264;3585545;795176;
57000;4207235;8192;6369436;920264;3418290;795176;
58000;4053062;8192;6673302;936264;2823142;795176;
59000;5003306;8192;6687080;952264;3032012;795176;
60000;6344370;8192;6208318;968264;2956590;795176;
61000;6332823;8192;4628779;984264;4773247;795176;
62000;6142423;8192;4307202;1000264;3896507;795176;
63000;5630218;8192;5307128;1016264;4208204;795176;
64000;5010536;8192;5877109;1032264;4152797;795176;
65000;4991430;8192;7141004;1048264;3376227;795176;
66000;5078481;8192;7549680;1064264;3199527;1581720;
67000;5856676;8192;6918910;1080264;3082095;1581720;
68000;6600522;8192;5880440;1096264;4879579;1581720;
69000;6014706;8192;4697136;1112264;4150127;1581720;
70000;5786991;8192;6202162;1128264;4793047;1581720;
71000;5374140;8192;7445366;1144264;3983017;1581720;
72000;6098709;8192;7790274;1160264;3347803;1581720;
73000;7467996;8192;6062292;1176264;4847443;1581720;
74000;6323837;8192;6653330;1192264;5229060;1581720;
75000;5515234;8192;7948902;1208264;3909253;1581720;
76000;6395416;8192;7268903;1224264;4381208;1581720;
77000;7433336;8192;5712052;1240264;4970368;1581720;
78000;6226973;8192;8977469;1256264;4356551;1581720;
79000;7148978;8192;6990237;1272264;4797508;1581720;
80000;7351158;8192;7713600;1288264;5651476;1581720;
81000;5603339;8192;8844183;1304264;3976627;1581720;
82000;8168423;8192;6529100;1320264;5316399;1581720;
83000;6118614;8192;9045201;1336264;4127656;1581720;
84000;7798083;8192;7504890;1352264;4944666;1581720;
85000;7645826;8192;8226902;1368264;5675261;1581720;
86000;7218152;8192;7914878;1384264;5359541;1581720;
87000;7673692;8192;8778954;1400264;5398713;1581720;
88000;7539853;8192;8827077;1416264;6840405;1581720;
89000;6979760;8192;9522485;1432264;4563527;1581720;
90000;8478265;8192;7573344;1448264;6919507;1581720;
91000;7037600;8192;10199424;1464264;4486787;1581720;
92000;8775470;8192;7147737;1480264;6670882;1581720;
93000;6573183;8192;9196693;1496264;4204628;1581720;
94000;9076072;8192;6939828;1512264;5903176;1581720;
95000;6367450;8192;9971977;1528264;4154211;1581720;
96000;8663549;8192;6993302;1544264;6077658;1581720;
97000;6680019;8192;9724985;1560264;4202582;1581720;
98000;9091446;8192;7456114;1576264;5993007;1581720;
99000;7466289;8192;9639334;1592264;4075482;1581720;
100000;9149540;8192;8192630;1608264;5917103;1581720;
