Real value: 21.06666666666667
n	estimated value	difference	difference theory
100	21.066666709333337	4.266666664420882E-08	3E-06
200	21.066666669333333	2.666663334593977E-09	3.75E-07
300	21.066666667193424	5.267537517283927E-10	1.1111111111111114E-07
400	21.06666666683334	1.666684568135679E-10	4.6875E-08
500	21.06666666673493	6.825828791079402E-11	2.4E-08
600	21.066666666699593	3.292299766144424E-11	1.3888888888888892E-08
700	21.066666666684444	1.7774226535038906E-11	8.746355685131195E-09
800	21.06666666667709	1.042010921992187E-11	5.859375E-09
900	21.066666666673168	6.497913318526116E-12	4.115226337448559E-09
1000	21.066666666670944	4.273914555597003E-12	3E-09
