Real value: 21.06666666666667
n	estimated value	difference	difference theory
100	21.069066656	0.00239998933333041	0.004933333333333334
200	21.067266666000005	0.0005999993333354325	0.0012333333333333335
300	21.066933333201654	0.00026666653498352844	0.0005481481481481482
400	21.066816666625005	0.00014999995833520074	0.00030833333333333337
500	21.066762666649616	9.599998294618217E-05	0.00019733333333333332
600	21.06673333332511	6.666665844079489E-05	0.00013703703703703705
700	21.06671564625406	4.897958739036312E-05	0.00010068027210884355
800	21.066704166664067	3.7499997397105744E-05	7.708333333333334E-05
900	21.066696296294676	2.9629628006233588E-05	6.090534979423868E-05
1000	21.066690666665604	2.3999998933987854E-05	4.933333333333333E-05
