(-765231.400)(x - 0.650)(x - 0.700)(x - 0.750)(x - 0.800)(x - 0.850)(x - 0.900)(x - 0.950)(x - 1.000)(x - 1.050)+6079350.20475662(x - 0.600)(x - 0.700)(x - 0.750)(x - 0.800)(x - 0.850)(x - 0.900)(x - 0.950)(x - 1.000)(x - 1.050)+(-21077696.147)(x - 0.600)(x - 0.650)(x - 0.750)(x - 0.800)(x - 0.850)(x - 0.900)(x - 0.950)(x - 1.000)(x - 1.050)+41717001.67913485(x - 0.600)(x - 0.650)(x - 0.700)(x - 0.800)(x - 0.850)(x - 0.900)(x - 0.950)(x - 1.000)(x - 1.050)+(-51697862.702)(x - 0.600)(x - 0.650)(x - 0.700)(x - 0.750)(x - 0.850)(x - 0.900)(x - 0.950)(x - 1.000)(x - 1.050)+41316534.34746197(x - 0.600)(x - 0.650)(x - 0.700)(x - 0.750)(x - 0.800)(x - 0.900)(x - 0.950)(x - 1.000)(x - 1.050)+(-21072344.333)(x - 0.600)(x - 0.650)(x - 0.700)(x - 0.750)(x - 0.800)(x - 0.850)(x - 0.950)(x - 1.000)(x - 1.050)+6499577.556139463(x - 0.600)(x - 0.650)(x - 0.700)(x - 0.750)(x - 0.800)(x - 0.850)(x - 0.900)(x - 1.000)(x - 1.050)+(-1064802.076)(x - 0.600)(x - 0.650)(x - 0.700)(x - 0.750)(x - 0.800)(x - 0.850)(x - 0.900)(x - 0.950)(x - 1.050)+65472.86828944218(x - 0.600)(x - 0.650)(x - 0.700)(x - 0.750)(x - 0.800)(x - 0.850)(x - 0.900)(x - 0.950)(x - 1.000)

x	y interpolated	y real	error
0.60	0.5423577544766736	0.5423577544766736	0
0.62	0.5106348623953088	0.5106348623952687	4.007905118896815E-14
0.65	0.47874882862458734	0.47874882862458734	0
0.68	0.44681918709303303	0.4468191870930415	-8.493206138382448E-15
0.70	0.41496714290024084	0.41496714290024084	0
0.73	0.3833152693673698	0.3833152693673665	3.3306690738754696E-15
0.75	0.3519872016677028	0.3519872016677028	0
0.78	0.32110732780309037	0.3211073278030923	-1.942890293094024E-15
0.80	0.2908004776987111	0.2908004776987111	0
0.83	0.2611916111932677	0.26119161119326584	1.887379141862766E-15
0.85	0.2324055057044751	0.2324055057044751	0
0.88	0.20456644435050508	0.2045664443505077	-2.609024107869118E-15
0.90	0.17779790530691267	0.17779790530691267	0
0.93	0.1522222531754921	0.15222225317548688	5.218048215738236E-15
0.95	0.1279604331364963	0.1279604331364963	0
0.98	0.10513166864869543	0.10513166864871282	-1.7388868123191514E-14
1.00	0.08385316345285743	0.08385316345285743	0
1.03	0.06423980862339314	0.06423980862328688	1.062622212444353E-13
1.05	0.046403895400142336	0.046403895400142336	0
Average error: 9.853229343548264E-15
