<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
31/05/99,000000,548.0000000,553.0000000,495.0000000,550.0000000,10744
07/06/99,000000,558.0000000,710.0000000,550.0000000,710.0000000,24800
14/06/99,000000,700.0000000,1040.0000000,665.0000000,985.0000000,28503
21/06/99,000000,1040.0000000,1395.0000000,990.0000000,1057.0000000,48532
28/06/99,000000,1060.0100000,1195.0000000,995.0000000,1144.0000000,33823
05/07/99,000000,1150.0000000,1254.0000000,1110.0000000,1144.0000000,54632
12/07/99,000000,1160.0000000,1160.0000000,970.0100000,976.0000000,53103
19/07/99,000000,965.0000000,970.0000000,822.5000000,880.5000000,42738
26/07/99,000000,875.0000000,930.0000000,680.0100000,749.9800000,63961
02/08/99,000000,780.0000000,792.0000000,600.0000000,676.0000000,62712
09/08/99,000000,500.0000000,755.0000000,500.0000000,715.0000000,98517
16/08/99,000000,750.0000000,750.0000000,702.0000000,747.0000000,31245
23/08/99,000000,755.0000000,853.0000000,730.0000000,745.0000000,58569
30/08/99,000000,715.0000000,770.0000000,675.0000000,750.0000000,68284
06/09/99,000000,758.0000000,776.0000000,685.0000000,740.0000000,86168
13/09/99,000000,721.0000000,730.0000000,501.0000000,560.0200000,92301
20/09/99,000000,585.0000000,598.0000000,500.0000000,567.0000000,67693
27/09/99,000000,550.0000000,603.0000000,501.0000000,538.9000000,51079
04/10/99,000000,550.0000000,609.8000000,540.0000000,592.0100000,49269
11/10/99,000000,585.0000000,663.0000000,572.0000000,575.0000000,53171
18/10/99,000000,572.0000000,610.0000000,553.0000000,595.0000000,34199
25/10/99,000000,600.0000000,600.0000000,568.0000000,584.9800000,15947
01/11/99,000000,583.5000000,599.0000000,541.1000000,599.0000000,32320
08/11/99,000000,600.0000000,680.0000000,591.0000000,657.0000000,58029
15/11/99,000000,650.0000000,780.0000000,650.0000000,780.0000000,91459
22/11/99,000000,814.0000000,872.0000000,781.0000000,806.0000000,131396
29/11/99,000000,800.0000000,854.0000000,742.0100000,853.0000000,95862
06/12/99,000000,870.0000000,875.0000000,690.0000000,710.0000000,96866
13/12/99,000000,690.0000000,840.0000000,690.0000000,800.5000000,76216
20/12/99,000000,845.0000000,999.0000000,835.0000000,960.0000000,137437
27/12/99,000000,975.0000000,1089.0000000,975.0000000,1016.0000000,61610
03/01/00,000000,1150.0000000,1280.0000000,1080.0000000,1267.0000000,44726
10/01/00,000000,1325.0000000,1539.0000000,1102.0000000,1499.0000000,255458
17/01/00,000000,1480.0000000,1543.0000000,1206.0000000,1366.0000000,207067
24/01/00,000000,1373.0000000,1390.0000000,1130.0000000,1200.0500000,194202
31/01/00,000000,1151.0000000,1257.0000000,1117.0000000,1235.0000000,132906
07/02/00,000000,1245.0000000,1380.0000000,1215.0200000,1300.1000000,153902
14/02/00,000000,1355.0000000,1447.0000000,1270.0000000,1372.0000000,124146
21/02/00,000000,1330.0000000,1447.0000000,1320.0000000,1365.0000000,109152
28/02/00,000000,1330.0000000,1413.9000000,1286.0000000,1409.0000000,102741
06/03/00,000000,1425.0000000,1637.0100000,1382.0000000,1620.0000000,225714
13/03/00,000000,1567.0000000,1620.0000000,1413.0000000,1424.9000000,300019
20/03/00,000000,1420.0000000,1595.0000000,1367.0000000,1522.0000000,215183
27/03/00,000000,1570.0000000,1585.0000000,1320.0000000,1420.0000000,111124
03/04/00,000000,1422.0000000,1546.0000000,1370.0000000,1416.0000000,192528
10/04/00,000000,1400.0000000,1573.0000000,1400.0000000,1501.5000000,225953
